Time,Time Code,Country Name,Country Code,Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]"
2000,YR2000,Afghanistan,AFG,9.68509479289398,..,308.318269746638,0.00482760061734038
2000,YR2000,Albania,ALB,11.8598049086438,21.712185305831,1991.91435867116,3.9893207113692
2000,YR2000,Algeria,DZA,24.7936602739347,53.3309696535528,3553.32420521991,0.511220957154505
2000,YR2000,American Samoa,ASM,..,..,..,..
2000,YR2000,Andorra,AND,..,14.8437550367806,34113.8173771495,..
2000,YR2000,Angola,AGO,8.41812161825672,72.1229549419033,1932.98847886814,9.62386615038711
2000,YR2000,Antigua and Barbuda,ATG,..,13.0989719284255,15961.0918359058,10.7107628709911
2000,YR2000,Argentina,ARG,22.6821568510036,25.9908360111364,10631.6503639029,3.66579059535379
2000,YR2000,Armenia,ARM,13.4557930176967,..,1229.21510436102,5.45043315573561
2000,YR2000,Aruba,ABW,..,13.1759545308158,30199.6612772816,-6.82872717296655
2000,YR2000,Australia,AUS,22.4184458925157,24.5505331429934,45859.5162097045,3.57859921888914
2000,YR2000,Austria,AUT,30.0375688410926,28.6115523176599,38571.0858780001,4.33323688730786
2000,YR2000,Azerbaijan,AZE,10.878660220368,42.5383099128887,1504.73106650409,2.46437455007312
2000,YR2000,"Bahamas, The",BHS,16.9819068714069,12.1488719700562,32424.8330349383,3.09850714482936
2000,YR2000,Bahrain,BHR,28.4584790377743,..,25407.9694054552,4.01154558234918
2000,YR2000,Bangladesh,BGD,10.0468110409437,22.2793826819325,620.560472822105,0.525362089236087
2000,YR2000,Barbados,BRB,20.3873384470713,15.3064226180748,19351.4638405481,2.40879045285177
2000,YR2000,Belarus,BLR,33.5857323884791,33.4789463312094,2615.36376954661,0.93273178742692
2000,YR2000,Belgium,BEL,25.8134498658128,24.9438325836543,35878.3153586195,37.4753122979087
2000,YR2000,Belize,BLZ,17.3790805435518,22.7983141627887,5662.33419045965,2.59589533028945
2000,YR2000,Benin,BEN,17.2413879128739,18.7563482119071,861.213292013209,-0.363490759310418
2000,YR2000,Bermuda,BMU,..,11.0730100605738,109502.763102809,1.92229282122763
2000,YR2000,Bhutan,BTN,5.94475357710652,33.3183174679356,1259.6237645235,..
2000,YR2000,Bolivia,BOL,18.6186098966799,25.7390221812353,2014.19024658446,8.76830997312938
2000,YR2000,Bosnia and Herzegovina,BIH,36.6448725704624,21.5373916859689,2566.58782060588,2.62359146003394
2000,YR2000,Botswana,BWA,21.1544274380645,46.3005302919992,5062.64289173588,0.987700169396241
2000,YR2000,Brazil,BRA,22.5897397632189,23.0066186321239,6817.784240857,5.03391680528314
2000,YR2000,British Virgin Islands,VGB,..,..,..,..
2000,YR2000,Brunei Darussalam,BRN,21.4660077358657,66.2665825490249,37509.5983267664,8.36413527084893
2000,YR2000,Bulgaria,BGR,32.8306303945146,22.6775829799096,3717.92891507381,7.56080761987916
2000,YR2000,Burkina Faso,BFA,18.6617000591371,21.8707545475914,428.309796566198,0.778458188099508
2000,YR2000,Burundi,BDI,2.25467580430997,15.5395706894248,302.219163799824,1.34215244308902
2000,YR2000,Cabo Verde,CPV,17.8949101549929,21.7471907808972,2037.31720912714,6.34282422287075
2000,YR2000,Cambodia,KHM,8.53602209476915,21.6455986512559,598.561915252147,3.20257592365608
2000,YR2000,Cameroon,CMR,9.6419031255949,28.4827009917297,1151.27689302947,1.51144473289681
2000,YR2000,Canada,CAN,23.294177869961,29.5000375204667,37906.8601321366,9.17102428671511
2000,YR2000,Cayman Islands,CYM,..,..,..,..
2000,YR2000,Central African Republic,CAF,6.85967639664494,..,437.168928414826,0.096977752043516
2000,YR2000,Chad,TCD,3.00821181772408,10.9126742297265,528.492179115295,8.29469631381898
2000,YR2000,Channel Islands,CHI,23.8455103983386,..,..,..
2000,YR2000,Chile,CHL,23.3935612125789,27.8329007305146,8465.35303258864,6.20376708218785
2000,YR2000,China,CHN,23.023356315873,45.0738315177586,2237.44298500334,3.43984725315719
2000,YR2000,Colombia,COL,18.3084881043486,27.3057722832576,4016.80951748167,2.43950747934181
2000,YR2000,Comoros,COM,14.2678480209966,12.2062715534526,1030.93947568487,0.02666768585993
2000,YR2000,"Congo, Dem. Rep.",COD,7.58424035525723,22.4057063027137,327.240142486849,0.493452281553792
2000,YR2000,"Congo, Rep.",COG,22.8101410629265,72.1526717557252,2057.01922023551,-3.04039258438044
2000,YR2000,Costa Rica,CRI,22.3737350744225,25.4449908253979,7726.51985682502,4.81846449896273
2000,YR2000,Cote d'Ivoire,CIV,11.7779855495044,13.9368025202647,1717.95385651231,1.41578193433815
2000,YR2000,Croatia,HRV,29.2631100312435,24.2022887541673,8879.96498049361,4.58593627511279
2000,YR2000,Cuba,CUB,23.0340378474667,25.535082151714,4112.26168350671,..
2000,YR2000,Curacao,CUW,..,14.7899219306528,21523.6458973702,..
2000,YR2000,Cyprus,CYP,23.7698432381236,17.6860389784449,22383.96484375,8.56085877135346
2000,YR2000,Czechia,CZE,40.2964562719574,33.3054131766471,12543.9364342367,8.02095314137193
2000,YR2000,Denmark,DNK,25.3380480625821,23.6797577866217,49266.9882757886,21.9534625057579
2000,YR2000,Djibouti,DJI,4.43059033675989,..,..,0.596129445834392
2000,YR2000,Dominica,DMA,..,15.8601463842642,6879.59746131755,5.2571268374394
